"","Tijdstempel","Student","Geslacht","Leeftijd","Woonsituatie","Opleiding","Postcode","Waardering","Menselijk","Aangenaam","Persoonlijk","Non.Verbale.Comm","Betrokkenheid","Recensies","Populariteit","Bedrijf"
"160","10-5-2018 8:34:41","Ja","Vrouw","23+","Uitwonend","MBO",3081,7,8,8,6,7,8,6,7,"Rituals"
"161","11-5-2018 13:28:12","Ja","Vrouw","23+","Thuiswonend","HAVO",3911,7,5,6,6,6,5,7,8,"Rituals"
"162","12-5-2018 16:36:02","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"163","13-5-2018 17:57:05","Ja","Man","23+","Uitwonend","HBO",3921,10,10,10,9,10,10,10,10,"Rituals"
"164","13-5-2018 17:57:20","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"165","16-5-2018 19:35:22","Ja","Man","19","Thuiswonend","VMBO",7324,4,4,7,2,4,6,3,8,"Rituals"
"166","16-5-2018 19:35:38","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"167","16-5-2018 19:36:56","Ja","Man","18","Thuiswonend","HAVO",7317,5,5,9,6,6,4,6,4,"Rituals"
"168","16-5-2018 19:38:00","Ja","Vrouw","18","Thuiswonend","VWO",7333,3,6,3,8,4,8,6,6,"Rituals"
"169","16-5-2018 19:50:22","Ja","Man","20","Thuiswonend","HAVO",7326,8,9,6,8,7,7,7,8,"Rituals"
"170","16-5-2018 19:50:45","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"171","22-5-2018 21:41:04","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
"172","23-5-2018 15:32:31","Ja","Man","20","Uitwonend","MBO",NA,6,7,6,7,6,7,8,4,"Rituals"
"173","23-5-2018 15:32:59","Ja","Vrouw","21","Thuiswonend","HAVO",2191,6,9,7,8,6,8,7,6,"Rituals"
"174","23-5-2018 15:33:23","Ja","Man","19","Uitwonend","HBO",3244,5,6,6,8,7,7,6,7,"Rituals"
"175","23-5-2018 15:33:48","Ja","Man","22","Uitwonend","HAVO",6436,9,7,9,10,8,7,8,7,"Rituals"
"176","23-5-2018 15:33:56","Ja","Vrouw","19","Thuiswonend","HAVO",6811,6,4,7,4,8,6,7,9,"Rituals"
"177","23-5-2018 15:34:44","Ja","Vrouw","21","Thuiswonend","HBO",3555,8,7,7,6,8,8,9,9,"Rituals"
"178","23-5-2018 15:35:06","Ja","Vrouw","22","Uitwonend","HAVO",24844,8,7,8,9,7,7,7,7,"Rituals"
"179","23-5-2018 15:35:33","Ja","Vrouw","19","Uitwonend","MBO",2344,9,7,8,7,8,7,7,6,"Rituals"
"180","23-5-2018 15:36:09","Ja","Vrouw","21","Uitwonend","MBO",6554,5,8,7,6,8,9,6,8,"Rituals"
"181","23-5-2018 15:36:30","Ja","Man","20","Uitwonend","HBO",7654,6,6,7,8,7,8,7,8,"Rituals"
"182","23-5-2018 15:36:51","Ja","Vrouw","23+","Thuiswonend","VWO",8765,6,7,9,7,8,5,3,7,"Rituals"
"183","23-5-2018 15:37:10","Ja","Man","19","Uitwonend","MBO",7654,7,5,3,1,8,7,6,4,"Rituals"
"184","23-5-2018 15:37:31","Ja","Man","19","Thuiswonend","VWO",7655,7,6,7,6,7,6,8,6,"Rituals"
"185","30-4-2018 17:11:43","Ja","Vrouw","19","Thuiswonend","MBO",7041,7,6,7,6,9,5,9,8,"IKEA"
"186","30-4-2018 17:18:20","Ja","Vrouw","20","Thuiswonend","MBO",7002,8,7,8,8,7,7,6,5,"IKEA"
"187","30-4-2018 17:18:26","Ja","Vrouw","20","Thuiswonend","MBO",7002,8,7,8,8,7,7,6,5,"IKEA"
"188","1-5-2018 20:25:52","Ja","Man","23+","Thuiswonend","MBO",6942,7,7,7,6,7,6,5,7,"IKEA"
"189","1-5-2018 20:28:54","Ja","Vrouw","22","Thuiswonend","MBO",7001,8,5,6,7,9,7,8,8,"IKEA"
"190","1-5-2018 20:30:39","Ja","Man","21","Uitwonend","HAVO",6826,6,7,6,5,7,6,7,9,"IKEA"
