"","Tijdstempel","Student","Verzenden","Geslacht","Leeftijd","Device","Zoektijd.Verwacht","Zoektijd.Bereid","Begintijd","Eindtijd","Url","Prijs","Beginpunt","Tevredenheid","Bedrijf","Zoektijd"
"262","19-4-2018 15:59:18","Ja",NA,"Vrouw","18","Laptop","0-2 Minuten","0-2 minuten",15:58:00,15:58:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=EAIaIQobChMI9OO2t7_G2gIVEpkbCh0qkwHAEAQYAyABEgJ1WfD_BwE",NA,"Zoekmachine",4,"Eastpak",0
"263","19-4-2018 16:10:27","Ja",NA,"Man","23","Mobiele telefoon","0-2 Minuten","0-2 minuten",16:07:00,16:10:00,"https://www.eastpak.com/nl-nl/wyoming-into-black-pEK81161K+00+999.html",NA,"Zoekmachine",3,"Eastpak",180
"264","19-4-2018 16:29:42","Ja",NA,"Man","21","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",16:28:00,16:28:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvW0DQzK_baI7BPYaKrNY8cjpx3o6xjxjiU15ikJF75hRn9KS6YgvzQaAmvtEALw_wcB","75","Zoekmachine",4,"Eastpak",0
"265","19-4-2018 16:29:47","Ja",NA,"Man","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:27:00,16:27:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvVcCYoF0xBbmihZxZknF-h9eTHLMBvFms-mTpKNkSAwICYa9yWKIlsaApCOEALw_wcB","69","Zoekmachine",4,"Eastpak",0
"266","19-4-2018 16:34:13","Ja",NA,"Man","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:31:00,16:32:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvUb7E7enA8gDWCPaNDlK3VGLl2RO6QlrDkGZlOHUxYJ4Rfn111clekaAmQxEALw_wcB","69","Zoekmachine",2,"Eastpak",60
"267","19-4-2018 16:35:43","Ja",NA,"Vrouw","19","Mobiele telefoon","0-2 Minuten","Langer dan 10 minuten",16:34:00,16:34:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvUYhIgoKBHOxlTMd05FornMdTMjgdDQn4VGUjnDuS3CLGC17YG512caAnjzEALw_wcB","75","Zoekmachine",4,"Eastpak",0
"268","19-4-2018 16:37:02","Ja",NA,"Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:35:00,16:35:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=EAIaIQobChMIvpHs2cfG2gIVC0kZCh0CUQiWEAQYASABEgLMBPD_BwE","74.95","Zoekmachine",4,"Eastpak",0
"269","19-4-2018 16:37:17","Ja",NA,"Vrouw","19","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:32:00,16:32:00,"https://www.coolblue.nl/product/500327/eastpak-wyoming-black.html?tid=pla-357339211177&ref=324208&gclid=EAIaIQobChMIr9TGjsfG2gIVTWUZCh3LLg8iEAQYAiABEgLy4vD_BwE","51.99","Zoekmachine",4,"Eastpak",0
"270","19-4-2018 16:40:01","Ja",NA,"Vrouw","20","Mobiele telefoon","0-2 Minuten","3-5 minuten",16:38:00,16:39:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvU06Pa4PTpRRSijm8Gl0LHX5ceklEyrXAS5M_Fk8U34h_SDVnWXd8oaAg8oEALw_wcB","75","Zoekmachine",3,"Eastpak",60
"271","19-4-2018 16:47:47","Ja",NA,"Ramon","18","Fortnite","0-2 Minuten","0-2 minuten",16:40:00,20:00:00,"Niet gevonden","0","Fortnite",1,"Eastpak",12000
"272","19-4-2018 17:00:27","Ja",NA,"Man","19","Mobiele telefoon","0-2 Minuten","6-9 minuten",16:59:00,16:59:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvVYJsKQ9w6BrRUgMTYDwpQdZcnCzyPU1R58uWnGyh33gQIn94JBN0waAsKeEALw_wcB","75","Zoekmachine",4,"Eastpak",0
"273","19-4-2018 17:17:46","Ja",NA,"Vrouw","21","Mobiele telefoon","3-5 Minuten","Langer dan 10 minuten",17:15:00,17:16:00,"https://www.travelbags.nl/eastpak-wyoming-laptop-rugzak-15-into-black.html?gclid=EAIaIQobChMI2u-Vg9HG2gIVDx0YCh1ffghGEAQYAiABEgLf5PD_BwE","69","Zoekmachine",4,"Eastpak",60
"274","19-4-2018 17:21:11","Ja",NA,"Man","22","Mobiele telefoon","0-2 Minuten","0-2 minuten",17:17:00,17:17:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=EAIaIQobChMIvvu8zdHG2gIVE0MYCh1GQwHdEAQYAyABEgIhOvD_BwE","74.95","Zoekmachine",4,"Eastpak",0
"275","19-4-2018 17:24:39","Ja",NA,"Vrouw","19","Mobiele telefoon","3-5 Minuten","6-9 minuten",17:24:00,17:24:00,"https://www.thebagstore.nl/eastpak/eastpak-wyoming-into-black?gclid=Cj0KCQjw_ODWBRCTARIsAE2_EvVxEoQKs6UE3Z76W2W-osjzUWMsk2udVa119YgN63eI6mvs8t2zTssaAnCyEALw_wcB","74","Zoekmachine",4,"Eastpak",0
